timestep,susceptible_nodes,infected_nodes,recovered_nodes,run
0,29,19,1,1
1,22,26,5,1
2,18,30,6,1
3,17,31,10,1
4,19,29,14,1
5,21,27,18,1
6,25,23,21,1
7,25,23,22,1
8,24,24,21,1
9,34,14,27,1
10,33,15,27,1
11,34,14,29,1
12,38,10,32,1
13,38,10,27,1
14,38,10,25,1
15,39,9,21,1
16,38,10,18,1
17,41,7,20,1
18,44,4,22,1
19,44,4,21,1
20,44,4,21,1
21,42,6,19,1
22,39,9,15,1
23,40,8,15,1
24,39,9,14,1
25,38,10,14,1
26,32,16,12,1
27,33,15,14,1
28,27,21,14,1
29,25,23,15,1
30,24,24,16,1
31,30,18,21,1
32,31,17,21,1
33,28,20,20,1
34,29,19,22,1
35,29,19,23,1
36,29,19,23,1
37,33,15,27,1
38,33,15,27,1
39,33,15,26,1
40,32,16,28,1
41,35,13,26,1
42,38,10,30,1
43,39,9,29,1
44,40,8,27,1
45,41,7,25,1
46,39,9,25,1
47,39,9,26,1
48,41,7,28,1
49,41,7,24,1
0,32,16,3,2
1,23,25,4,2
2,20,28,9,2
3,26,22,16,2
4,27,21,20,2
5,28,20,23,2
6,33,15,26,2
7,31,17,27,2
8,32,16,27,2
9,32,16,25,2
10,31,17,25,2
11,33,15,25,2
12,32,16,21,2
13,27,21,22,2
14,32,16,28,2
15,36,12,28,2
16,39,9,28,2
17,36,12,27,2
18,37,11,29,2
19,38,10,28,2
20,36,12,25,2
21,38,10,25,2
22,38,10,22,2
23,38,10,23,2
24,37,11,22,2
25,36,12,22,2
26,37,11,23,2
27,40,8,25,2
28,44,4,26,2
29,42,6,24,2
30,42,6,23,2
31,42,6,22,2
32,42,6,21,2
33,43,5,22,2
34,45,3,23,2
35,45,3,22,2
36,45,3,17,2
37,45,3,17,2
38,44,4,17,2
39,41,7,16,2
40,40,8,16,2
41,38,10,15,2
42,36,12,14,2
43,37,11,17,2
44,35,13,15,2
45,32,16,12,2
46,34,14,17,2
47,34,14,17,2
48,37,11,22,2
49,38,10,21,2
0,30,18,2,3
1,19,29,3,3
2,15,33,7,3
3,17,31,11,3
4,23,25,15,3
5,23,25,17,3
6,27,21,20,3
7,27,21,20,3
8,30,18,22,3
9,34,14,26,3
10,35,13,25,3
11,36,12,25,3
12,38,10,27,3
13,37,11,27,3
14,35,13,24,3
15,33,15,21,3
16,35,13,23,3
17,34,14,23,3
18,33,15,24,3
19,36,12,25,3
20,37,11,27,3
21,40,8,26,3
22,38,10,24,3
23,37,11,23,3
24,33,15,22,3
25,36,12,24,3
26,33,15,23,3
27,34,14,23,3
28,32,16,20,3
29,31,17,23,3
30,34,14,26,3
31,35,13,25,3
32,35,13,23,3
33,34,14,22,3
34,33,15,22,3
35,30,18,22,3
36,32,16,24,3
37,32,16,26,3
38,33,15,23,3
39,30,18,20,3
40,26,22,20,3
41,26,22,22,3
42,29,19,20,3
43,28,20,21,3
44,29,19,22,3
45,33,15,23,3
46,33,15,25,3
47,34,14,25,3
48,36,12,27,3
49,41,7,28,3
0,29,19,1,4
1,18,30,1,4
2,21,27,7,4
3,19,29,11,4
4,22,26,17,4
5,24,24,17,4
6,26,22,21,4
7,24,24,22,4
8,27,21,26,4
9,32,16,29,4
10,36,12,32,4
11,36,12,29,4
12,36,12,28,4
13,36,12,29,4
14,35,13,27,4
15,35,13,29,4
16,36,12,29,4
17,36,12,28,4
18,38,10,26,4
19,41,7,31,4
20,44,4,28,4
21,43,5,28,4
22,43,5,24,4
23,41,7,22,4
24,40,8,20,4
25,38,10,20,4
26,35,13,20,4
27,35,13,22,4
28,32,16,22,4
29,35,13,23,4
30,34,14,22,4
31,34,14,24,4
32,36,12,25,4
33,32,16,25,4
34,31,17,27,4
35,30,18,26,4
36,31,17,26,4
37,30,18,27,4
38,31,17,29,4
39,35,13,32,4
40,36,12,33,4
41,38,10,33,4
42,41,7,30,4
43,42,6,30,4
44,39,9,28,4
45,40,8,27,4
46,38,10,26,4
47,41,7,29,4
48,43,5,29,4
49,42,6,24,4
0,33,15,2,5
1,29,19,4,5
2,27,21,8,5
3,28,20,10,5
4,26,22,13,5
5,24,24,14,5
6,24,24,16,5
7,24,24,19,5
8,26,22,18,5
9,29,19,22,5
10,30,18,24,5
11,29,19,23,5
12,31,17,26,5
13,32,16,26,5
14,30,18,20,5
15,27,21,16,5
16,23,25,17,5
