timestep,susceptible_nodes,infected_nodes,run
0,31,17,1
1,20,28,1
2,15,33,1
3,13,35,1
4,11,37,1
5,12,36,1
6,11,37,1
7,11,37,1
8,11,37,1
9,10,38,1
10,9,39,1
11,10,38,1
12,14,34,1
13,7,41,1
14,6,42,1
15,11,37,1
16,14,34,1
17,16,32,1
18,17,31,1
19,15,33,1
20,17,31,1
21,12,36,1
22,13,35,1
23,7,41,1
24,7,41,1
25,8,40,1
26,9,39,1
27,13,35,1
28,12,36,1
29,17,31,1
30,16,32,1
31,11,37,1
32,14,34,1
33,16,32,1
34,15,33,1
35,12,36,1
36,14,34,1
37,11,37,1
38,7,41,1
39,10,38,1
40,8,40,1
41,7,41,1
42,12,36,1
43,17,31,1
44,17,31,1
45,18,30,1
46,21,27,1
47,14,34,1
48,16,32,1
49,11,37,1
0,29,19,2
1,27,21,2
2,22,26,2
3,21,27,2
4,23,25,2
5,16,32,2
6,18,30,2
7,15,33,2
8,8,40,2
9,11,37,2
10,10,38,2
11,8,40,2
12,17,31,2
13,4,44,2
14,7,41,2
15,17,31,2
16,15,33,2
17,18,30,2
18,11,37,2
19,12,36,2
20,12,36,2
21,8,40,2
22,5,43,2
23,9,39,2
24,10,38,2
25,9,39,2
26,14,34,2
27,7,41,2
28,13,35,2
29,9,39,2
30,15,33,2
31,10,38,2
32,14,34,2
33,10,38,2
34,9,39,2
35,7,41,2
36,9,39,2
37,13,35,2
38,12,36,2
39,12,36,2
40,17,31,2
41,18,30,2
42,20,28,2
43,9,39,2
44,9,39,2
45,9,39,2
46,5,43,2
47,15,33,2
48,11,37,2
49,11,37,2
0,28,20,3
1,18,30,3
2,18,30,3
3,12,36,3
4,9,39,3
5,13,35,3
6,11,37,3
7,9,39,3
8,15,33,3
9,17,31,3
10,13,35,3
11,17,31,3
12,14,34,3
13,13,35,3
14,16,32,3
15,18,30,3
16,12,36,3
17,7,41,3
18,5,43,3
19,11,37,3
20,13,35,3
21,6,42,3
22,10,38,3
23,8,40,3
24,11,37,3
25,18,30,3
26,15,33,3
27,12,36,3
28,13,35,3
29,6,42,3
30,4,44,3
31,12,36,3
32,12,36,3
33,13,35,3
34,11,37,3
35,8,40,3
36,13,35,3
37,10,38,3
38,7,41,3
39,7,41,3
40,17,31,3
41,10,38,3
42,8,40,3
43,7,41,3
44,9,39,3
45,15,33,3
46,14,34,3
47,8,40,3
48,13,35,3
49,13,35,3
0,31,17,4
1,26,22,4
2,23,25,4
3,19,29,4
4,18,30,4
5,16,32,4
6,16,32,4
7,18,30,4
8,15,33,4
9,11,37,4
10,13,35,4
11,6,42,4
12,6,42,4
13,10,38,4
14,15,33,4
15,11,37,4
16,9,39,4
17,14,34,4
18,15,33,4
19,12,36,4
20,19,29,4
21,17,31,4
22,16,32,4
23,12,36,4
24,16,32,4
25,15,33,4
26,19,29,4
27,15,33,4
28,16,32,4
29,18,30,4
30,17,31,4
31,9,39,4
32,14,34,4
33,15,33,4
34,22,26,4
35,15,33,4
36,12,36,4
37,12,36,4
38,7,41,4
39,8,40,4
40,10,38,4
41,8,40,4
42,11,37,4
43,13,35,4
44,12,36,4
45,11,37,4
46,16,32,4
47,16,32,4
48,11,37,4
49,8,40,4
0,29,19,5
1,20,28,5
2,21,27,5
3,17,31,5
4,13,35,5
5,8,40,5
6,9,39,5
7,10,38,5
8,11,37,5
9,10,38,5
10,15,33,5
11,11,37,5
12,10,38,5
13,14,34,5
14,12,36,5
15,12,36,5
16,11,37,5
17,14,34,5
18,13,35,5
19,11,37,5
20,11,37,5
21,18,30,5
22,8,40,5
23,13,35,5
24,13,35,5
25,9,39,5
26,8,40,5
27,8,40,5
28,9,39,5
29,17,31,5
30,14,34,5
31,9,39,5
32,13,35,5
33,12,36,5
34,10,38,5
35,11,37,5
36,17,31,5
37,14,34,5
38,10,38,5
39,13,35,5
40,18,30,5
41,14,34,5
42,9,39,5
43,15,33,5
44,14,34,5
45,11,37,5
46,14,34,5
47,11,37,5
48,13,35,5
49,11,37,5
0,29,19,6
1,22,26,6
2,19,29,6
3,18,30,6
4,19,29,6
5,19,29,6
6,11,37,6
7,13,35,6
8,10,38,6
9,15,33,6
10,13,35,6
11,18,30,6
12,11,37,6
13,14,34,6
14,15,33,6
15,14,34,6
16,11,37,6
17,13,35,6
18,7,41,6
19,4,44,6
20,6,42,6
21,8,40,6
22,10,38,6
23,8,40,6
24,9,39,6
25,12,36,6
26,17,31,6
27,12,36,6
28,9,39,6
29,9,39,6
30,6,42,6
31,6,42,6
32,9,39,6
33,9,39,6
34,8,40,6
35,3,45,6
36,10,38,6
37,13,35,6
38,7,41,6
39,8,40,6
40,12,36,6
41,14,34,6
42,9,39,6
43,6,42,6
44,10,38,6
45,14,34,6
46,10,38,6
47,10,38,6
48,7,41,6
49,10,38,6
0,28,20,7
1,30,18,7
2,25,23,7
3,23,25,7
4,21,27,7
5,12,36,7
6,13,35,7
7,10,38,7
8,17,31,7
9,7,41,7
10,9,39,7
11,11,37,7
12,12,36,7
13,13,35,7
14,9,39,7
15,8,40,7
16,12,36,7
17,10,38,7
18,7,41,7
19,13,35,7
20,11,37,7
21,10,38,7
22,10,38,7
23,6,42,7
24,11,37,7
25,11,37,7
26,11,37,7
27,10,38,7
28,14,34,7
29,10,38,7
30,14,34,7
31,11,37,7
32,11,37,7
33,11,37,7
34,8,40,7
35,11,37,7
36,6,42,7
37,12,36,7
38,15,33,7
39,16,32,7
40,15,33,7
41,14,34,7
42,10,38,7
43,7,41,7
44,8,40,7
45,12,36,7
46,13,35,7
47,15,33,7
48,15,33,7
49,9,39,7
0,32,16,8
1,25,23,8
2,15,33,8
3,13,35,8
4,11,37,8
5,14,34,8
6,10,38,8
7,7,41,8
8,6,42,8
9,8,40,8
10,8,40,8
11,6,42,8
12,12,36,8
13,8,40,8
14,10,38,8
15,13,35,8
16,14,34,8
17,8,40,8
18,9,39,8
19,11,37,8
20,11,37,8
21,12,36,8
22,5,43,8
23,4,44,8
24,9,39,8
25,6,42,8
26,8,40,8
27,5,43,8
28,17,31,8
29,8,40,8
30,10,38,8
31,9,39,8
32,13,35,8
33,17,31,8
34,7,41,8
35,8,40,8
36,14,34,8
37,13,35,8
38,10,38,8
39,11,37,8
40,7,41,8
41,7,41,8
42,9,39,8
43,12,36,8
44,14,34,8
45,14,34,8
46,11,37,8
47,18,30,8
48,8,40,8
49,9,39,8
0,32,16,9
1,28,20,9
2,21,27,9
3,17,31,9
4,9,39,9
5,8,40,9
6,5,43,9
7,11,37,9
8,11,37,9
9,12,36,9
10,9,39,9
11,12,36,9
12,9,39,9
13,11,37,9
14,14,34,9
15,12,36,9
16,8,40,9
17,7,41,9
18,13,35,9
19,13,35,9
20,9,39,9
21,18,30,9
22,15,33,9
23,13,35,9
24,5,43,9
25,12,36,9
26,9,39,9
27,5,43,9
28,10,38,9
29,7,41,9
30,11,37,9
31,18,30,9
32,8,40,9
33,13,35,9
34,9,39,9
35,15,33,9
36,13,35,9
37,11,37,9
38,12,36,9
39,10,38,9
40,8,40,9
41,16,32,9
42,9,39,9
43,7,41,9
44,6,42,9
45,10,38,9
46,11,37,9
47,8,40,9
48,9,39,9
49,12,36,9
0,29,19,10
1,19,29,10
2,21,27,10
3,19,29,10
4,19,29,10
5,18,30,10
6,7,41,10
7,13,35,10
8,9,39,10
9,7,41,10
10,1,47,10
11,9,39,10
12,15,33,10
13,18,30,10
14,8,40,10
15,7,41,10
16,11,37,10
17,11,37,10
18,11,37,10
19,10,38,10
20,12,36,10
21,9,39,10
22,8,40,10
23,6,42,10
24,7,41,10
25,12,36,10
26,11,37,10
27,10,38,10
28,8,40,10
29,14,34,10
30,15,33,10
31,17,31,10
32,18,30,10
33,10,38,10
34,7,41,10
35,11,37,10
36,11,37,10
37,13,35,10
38,9,39,10
39,11,37,10
40,11,37,10
41,12,36,10
42,13,35,10
43,17,31,10
44,18,30,10
45,15,33,10
46,18,30,10
47,9,39,10
48,14,34,10
49,10,38,10
0,29,19,11
1,20,28,11
2,11,37,11
3,17,31,11
4,18,30,11
5,7,41,11
6,10,38,11
7,6,42,11
8,14,34,11
9,14,34,11
10,7,41,11
11,9,39,11
12,8,40,11
13,8,40,11
14,12,36,11
15,8,40,11
16,11,37,11
17,13,35,11
18,10,38,11
19,9,39,11
20,7,41,11
21,12,36,11
22,12,36,11
23,9,39,11
24,14,34,11
25,13,35,11
26,12,36,11
27,13,35,11
28,14,34,11
29,8,40,11
30,13,35,11
31,11,37,11
32,11,37,11
33,8,40,11
34,14,34,11
35,10,38,11
36,13,35,11
37,9,39,11
38,13,35,11
39,11,37,11
40,8,40,11
41,14,34,11
42,13,35,11
43,9,39,11
44,13,35,11
45,9,39,11
46,11,37,11
47,11,37,11
48,14,34,11
49,19,29,11
0,25,23,12
1,24,24,12
2,24,24,12
3,17,31,12
4,17,31,12
5,13,35,12
6,11,37,12
7,5,43,12
8,5,43,12
9,7,41,12
10,9,39,12
11,11,37,12
12,11,37,12
13,13,35,12
14,14,34,12
15,16,32,12
16,13,35,12
17,13,35,12
18,15,33,12
19,18,30,12
20,15,33,12
21,11,37,12
22,11,37,12
23,13,35,12
24,13,35,12
25,10,38,12
26,10,38,12
27,13,35,12
28,8,40,12
29,9,39,12
30,8,40,12
31,13,35,12
32,8,40,12
33,17,31,12
34,17,31,12
35,17,31,12
36,15,33,12
37,11,37,12
38,13,35,12
39,12,36,12
40,11,37,12
41,14,34,12
42,10,38,12
43,7,41,12
44,10,38,12
45,14,34,12
46,6,42,12
47,14,34,12
48,12,36,12
49,10,38,12
0,31,17,13
1,28,20,13
2,24,24,13
3,27,21,13
4,16,32,13
5,14,34,13
6,12,36,13
7,12,36,13
8,18,30,13
9,16,32,13
10,9,39,13
11,7,41,13
12,9,39,13
13,10,38,13
14,16,32,13
15,8,40,13
16,10,38,13
17,16,32,13
18,11,37,13
19,12,36,13
20,19,29,13
21,15,33,13
22,18,30,13
23,9,39,13
24,10,38,13
25,15,33,13
26,11,37,13
27,11,37,13
28,16,32,13
29,14,34,13
30,10,38,13
31,16,32,13
32,6,42,13
33,11,37,13
34,8,40,13
35,10,38,13
36,14,34,13
37,12,36,13
38,14,34,13
39,12,36,13
40,9,39,13
41,15,33,13
42,9,39,13
43,9,39,13
44,12,36,13
45,9,39,13
46,13,35,13
47,15,33,13
48,8,40,13
49,8,40,13
0,29,19,14
1,22,26,14
2,20,28,14
3,15,33,14
4,13,35,14
5,19,29,14
6,10,38,14
7,10,38,14
8,10,38,14
9,10,38,14
10,9,39,14
11,12,36,14
12,14,34,14
13,7,41,14
14,11,37,14
15,11,37,14
16,12,36,14
17,7,41,14
18,7,41,14
19,6,42,14
20,13,35,14
21,6,42,14
22,12,36,14
23,13,35,14
24,13,35,14
25,10,38,14
26,11,37,14
27,10,38,14
28,7,41,14
29,10,38,14
30,6,42,14
31,9,39,14
32,13,35,14
33,11,37,14
34,7,41,14
35,14,34,14
36,14,34,14
37,10,38,14
38,10,38,14
39,7,41,14
40,11,37,14
41,13,35,14
42,6,42,14
43,15,33,14
44,17,31,14
45,16,32,14
46,18,30,14
47,17,31,14
48,14,34,14
49,8,40,14
0,29,19,15
1,24,24,15
2,15,33,15
3,14,34,15
4,16,32,15
5,9,39,15
6,15,33,15
7,13,35,15
8,12,36,15
9,8,40,15
10,10,38,15
11,9,39,15
12,8,40,15
13,13,35,15
14,10,38,15
15,9,39,15
16,10,38,15
17,15,33,15
18,9,39,15
19,13,35,15
20,16,32,15
21,15,33,15
22,15,33,15
23,14,34,15
24,10,38,15
25,11,37,15
26,11,37,15
27,11,37,15
28,14,34,15
29,7,41,15
30,9,39,15
31,8,40,15
32,10,38,15
33,12,36,15
34,10,38,15
35,7,41,15
36,10,38,15
37,14,34,15
38,7,41,15
39,11,37,15
40,13,35,15
41,16,32,15
42,10,38,15
43,12,36,15
44,9,39,15
45,8,40,15
46,5,43,15
47,14,34,15
48,17,31,15
49,8,40,15
0,33,15,16
1,26,22,16
2,21,27,16
3,24,24,16
4,18,30,16
5,7,41,16
6,14,34,16
7,14,34,16
8,9,39,16
9,4,44,16
10,13,35,16
11,9,39,16
12,9,39,16
13,11,37,16
14,5,43,16
15,8,40,16
16,10,38,16
17,7,41,16
18,11,37,16
19,8,40,16
20,16,32,16
21,11,37,16
22,13,35,16
23,9,39,16
24,11,37,16
25,9,39,16
26,14,34,16
27,10,38,16
28,11,37,16
29,17,31,16
30,17,31,16
31,9,39,16
32,12,36,16
33,13,35,16
34,11,37,16
35,14,34,16
36,16,32,16
37,10,38,16
38,15,33,16
39,10,38,16
40,14,34,16
41,10,38,16
42,10,38,16
43,10,38,16
44,16,32,16
45,16,32,16
46,14,34,16
47,12,36,16
48,12,36,16
49,11,37,16
0,33,15,17
1,29,19,17
2,27,21,17
3,20,28,17
4,13,35,17
5,16,32,17
6,13,35,17
7,13,35,17
8,14,34,17
9,18,30,17
10,16,32,17
11,12,36,17
12,13,35,17
13,15,33,17
14,17,31,17
15,14,34,17
16,15,33,17
17,9,39,17
18,8,40,17
19,6,42,17
20,8,40,17
21,10,38,17
22,11,37,17
23,20,28,17
24,14,34,17
