timestep,susceptible_nodes,infected_nodes,run
0,19,29,1
1,2,46,1
2,0,48,1
0,17,31,2
1,2,46,2
2,0,48,2
0,18,30,3
1,0,48,3
0,16,32,4
1,7,41,4
2,1,47,4
3,0,48,4
0,18,30,5
1,1,47,5
2,0,48,5
0,19,29,6
1,7,41,6
2,2,46,6
3,1,47,6
4,0,48,6
0,16,32,7
1,4,44,7
2,2,46,7
3,1,47,7
4,0,48,7
0,17,31,8
1,3,45,8
2,0,48,8
0,17,31,9
1,4,44,9
2,0,48,9
0,18,30,10
1,3,45,10
2,0,48,10
0,19,29,11
1,5,43,11
2,1,47,11
3,0,48,11
0,19,29,12
1,3,45,12
2,0,48,12
0,19,29,13
1,0,48,13
0,14,34,14
1,1,47,14
2,0,48,14
0,14,34,15
1,1,47,15
2,0,48,15
0,17,31,16
1,4,44,16
2,1,47,16
3,0,48,16
0,16,32,17
1,1,47,17
2,0,48,17
0,18,30,18
1,2,46,18
2,0,48,18
0,18,30,19
1,4,44,19
2,0,48,19
0,17,31,20
1,5,43,20
2,0,48,20
0,19,29,21
1,8,40,21
2,1,47,21
3,0,48,21
0,14,34,22
1,1,47,22
2,0,48,22
0,20,28,23
1,5,43,23
2,0,48,23
0,16,32,24
1,2,46,24
2,0,48,24
0,23,25,25
1,7,41,25
2,2,46,25
3,0,48,25
0,17,31,26
1,6,42,26
2,0,48,26
0,19,29,27
1,6,42,27
2,1,47,27
3,0,48,27
0,24,24,28
1,14,34,28
2,6,42,28
3,0,48,28
0,16,32,29
1,3,45,29
2,0,48,29
0,19,29,30
1,4,44,30
2,0,48,30
0,23,25,31
1,15,33,31
2,6,42,31
3,1,47,31
4,0,48,31
0,18,30,32
1,2,46,32
2,0,48,32
0,18,30,33
1,4,44,33
2,0,48,33
0,21,27,34
1,7,41,34
2,1,47,34
3,0,48,34
0,19,29,35
1,7,41,35
2,1,47,35
3,0,48,35
0,17,31,36
1,6,42,36
2,1,47,36
3,0,48,36
0,16,32,37
1,1,47,37
2,0,48,37
0,21,27,38
1,6,42,38
2,0,48,38
0,20,28,39
1,5,43,39
2,1,47,39
3,0,48,39
0,19,29,40
1,7,41,40
2,1,47,40
3,0,48,40
0,15,33,41
1,6,42,41
2,1,47,41
3,0,48,41
0,19,29,42
1,1,47,42
2,0,48,42
0,19,29,43
1,6,42,43
2,2,46,43
3,1,47,43
4,0,48,43
0,14,34,44
1,5,43,44
2,1,47,44
3,0,48,44
0,21,27,45
1,8,40,45
2,0,48,45
0,21,27,46
1,6,42,46
2,1,47,46
3,0,48,46
0,19,29,47
1,5,43,47
2,1,47,47
3,0,48,47
0,11,37,48
1,1,47,48
2,0,48,48
0,17,31,49
1,4,44,49
2,1,47,49
3,0,48,49
0,17,31,50
1,4,44,50
2,0,48,50
0,15,33,51
1,1,47,51
2,0,48,51
0,16,32,52
1,2,46,52
2,0,48,52
0,21,27,53
1,9,39,53
2,3,45,53
3,0,48,53
0,20,28,54
1,5,43,54
2,1,47,54
3,0,48,54
0,21,27,55
1,5,43,55
2,0,48,55
0,22,26,56
1,8,40,56
2,0,48,56
0,19,29,57
1,3,45,57
2,0,48,57
0,20,28,58
1,6,42,58
2,1,47,58
3,0,48,58
0,19,29,59
1,4,44,59
2,0,48,59
0,23,25,60
1,10,38,60
2,3,45,60
3,0,48,60
0,18,30,61
1,3,45,61
2,1,47,61
3,0,48,61
0,19,29,62
1,6,42,62
2,0,48,62
0,19,29,63
1,7,41,63
2,1,47,63
3,0,48,63
0,21,27,64
1,6,42,64
2,0,48,64
0,15,33,65
1,2,46,65
2,0,48,65
0,21,27,66
1,7,41,66
2,3,45,66
3,0,48,66
0,22,26,67
1,8,40,67
2,1,47,67
3,0,48,67
0,19,29,68
1,6,42,68
2,1,47,68
3,0,48,68
0,18,30,69
1,5,43,69
2,0,48,69
0,21,27,70
1,7,41,70
2,2,46,70
3,0,48,70
0,23,25,71
1,11,37,71
2,4,44,71
3,0,48,71
0,16,32,72
1,2,46,72
2,0,48,72
0,14,34,73
1,2,46,73
2,0,48,73
0,18,30,74
1,5,43,74
2,0,48,74
0,15,33,75
1,1,47,75
2,0,48,75
0,19,29,76
1,4,44,76
2,1,47,76
3,0,48,76
0,14,34,77
1,3,45,77
2,0,48,77
0,18,30,78
1,3,45,78
2,0,48,78
0,12,36,79
1,2,46,79
2,0,48,79
0,14,34,80
1,2,46,80
2,0,48,80
0,13,35,81
1,0,48,81
0,18,30,82
1,4,44,82
2,0,48,82
0,20,28,83
1,8,40,83
2,3,45,83
3,1,47,83
4,0,48,83
0,14,34,84
1,3,45,84
2,1,47,84
3,0,48,84
0,22,26,85
1,10,38,85
2,0,48,85
0,14,34,86
1,1,47,86
2,0,48,86
0,16,32,87
1,1,47,87
2,0,48,87
0,18,30,88
1,5,43,88
2,0,48,88
0,13,35,89
1,1,47,89
2,0,48,89
0,22,26,90
1,12,36,90
2,3,45,90
3,0,48,90
0,15,33,91
1,5,43,91
2,1,47,91
3,0,48,91
0,13,35,92
1,2,46,92
2,0,48,92
0,17,31,93
1,1,47,93
2,0,48,93
0,20,28,94
1,6,42,94
2,0,48,94
0,12,36,95
1,1,47,95
2,0,48,95
0,18,30,96
1,3,45,96
2,0,48,96
0,20,28,97
1,7,41,97
2,2,46,97
3,1,47,97
4,0,48,97
0,12,36,98
1,0,48,98
0,14,34,99
1,2,46,99
2,0,48,99
0,19,29,100
1,4,44,100
2,1,47,100
3,0,48,100
